date,interest
2004-01,5
2004-02,2
2004-03,2
2004-04,2
2004-05,2
2004-06,2
2004-07,3
2004-08,4
2004-09,6
2004-10,12
2004-11,39
2004-12,100
2005-01,5
2005-02,2
2005-03,2
2005-04,2
2005-05,2
2005-06,2
2005-07,3
2005-08,4
2005-09,6
2005-10,11
2005-11,39
2005-12,94
2006-01,5
2006-02,2
2006-03,2
2006-04,2
2006-05,2
2006-06,2
2006-07,2
2006-08,3
2006-09,5
2006-10,11
2006-11,35
2006-12,87
2007-01,5
2007-02,2
2007-03,2
2007-04,2
2007-05,2
2007-06,2
2007-07,2
2007-08,3
2007-09,5
2007-10,10
2007-11,34
2007-12,80
2008-01,5
2008-02,2
2008-03,2
2008-04,2
2008-05,2
2008-06,2
2008-07,2
2008-08,3
2008-09,5
2008-10,9
2008-11,29
2008-12,77
2009-01,5
2009-02,2
2009-03,2
2009-04,2
2009-05,2
2009-06,2
2009-07,2
2009-08,3
2009-09,4
2009-10,9
2009-11,29
2009-12,77
2010-01,5
2010-02,2
2010-03,2
2010-04,2
2010-05,2
2010-06,2
2010-07,2
2010-08,3
2010-09,4
2010-10,8
2010-11,28
2010-12,75
2011-01,5
2011-02,3
2011-03,2
2011-04,2
2011-05,2
2011-06,2
2011-07,2
2011-08,3
2011-09,4
2011-10,8
2011-11,30
2011-12,78
2012-01,6
2012-02,3
2012-03,3
2012-04,2
2012-05,2
2012-06,2
2012-07,2
2012-08,3
2012-09,5
2012-10,9
2012-11,30
2012-12,80
2013-01,5
2013-02,2
2013-03,2
2013-04,2
2013-05,2
2013-06,2
2013-07,2
2013-08,3
2013-09,5
2013-10,9
2013-11,31
2013-12,84
2014-01,5
2014-02,2
2014-03,2
2014-04,2
2014-05,2
2014-06,2
2014-07,2
2014-08,3
2014-09,5
2014-10,9
2014-11,31
2014-12,84
2015-01,5
2015-02,2
2015-03,2
2015-04,2
2015-05,2
2015-06,2
2015-07,2
2015-08,3
2015-09,5
2015-10,10
2015-11,34
2015-12,89
2016-01,6
2016-02,2
2016-03,2
2016-04,2
2016-05,2
2016-06,2
2016-07,3
2016-08,3
2016-09,5
2016-10,11
2016-11,38
2016-12,90
2017-01,6
2017-02,2
2017-03,2
2017-04,2
2017-05,2
2017-06,2
2017-07,3
2017-08,3
2017-09,6
2017-10,11
2017-11,42
2017-12,91
2018-01,6
2018-02,2
2018-03,2
2018-04,2
2018-05,2
2018-06,2
2018-07,3
2018-08,4
2018-09,6
2018-10,11
2018-11,27
